id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,attributes
DGhWO1sUWydVeR5j5ZZaMw,la-grande-boucherie-new-york-2,La Grande Boucherie,https://s3-media3.fl.yelpcdn.com/bphoto/b9URGcuuhnLq7J-__pHIng/o.jpg,False,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,2922,"[{'alias': 'french', 'title': 'French'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,"{'latitude': 40.7626274, 'longitude': -73.98084109999999}","['delivery', 'pickup']",$$$,"{'address1': '145 W 53rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['145 W 53rd St', 'New York, NY 10019']}",+12125107714,(212) 510-7714,866.8880441613537,"{'business_temp_closed': None, 'menu_url': 'https://www.boucherieus.com/la-grande-boucherie-menus/', 'open24_hours': None, 'waitlist_reservation': None}"
b8a-8u_A51v2IzyjLVsx6w,del-friscos-double-eagle-steakhouse-new-york,Del Frisco's Double Eagle Steakhouse,https://s3-media3.fl.yelpcdn.com/bphoto/FyQ0V-QtndWStk5B8qwjXw/o.jpg,False,https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-new-york?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,3479,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.2,"{'latitude': 40.759412, 'longitude': -73.982221}","['delivery', 'pickup']",$$$$,"{'address1': '1221 Ave Of The Americas', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10020', 'country': 'US', 'state': 'NY', 'display_address': ['1221 Ave Of The Americas', 'New York, NY 10020']}",+12125755129,(212) 575-5129,644.1376801730497,"{'business_temp_closed': None, 'menu_url': 'https://www.delfriscos.com/location/del-friscos-double-eagle-steakhouse-new-york-ny/#menus', 'open24_hours': None, 'waitlist_reservation': None}"
3Gz07E5YJjDTJPSuzsAStQ,ocean-prime-new-york,Ocean Prime,https://s3-media4.fl.yelpcdn.com/bphoto/BvJyC5c1n3ZZ0LKD14-BVQ/o.jpg,False,https://www.yelp.com/biz/ocean-prime-new-york?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,840,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'New American'}]",4.4,"{'latitude': 40.7617296, 'longitude': -73.9806295}",[],$$$$,"{'address1': '123 W 52nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['123 W 52nd St', 'New York, NY 10019']}",+12129561404,(212) 956-1404,839.3197373239308,"{'business_temp_closed': None, 'menu_url': 'https://www.ocean-prime.com/wp-content/uploads/2023/11/Ocean-Prime-New-York-City-Private-Dining-Brochure-092723.pdf', 'open24_hours': None, 'waitlist_reservation': None}"
EKkHfSYTm266-ZBve3SdgA,yoon-haeundae-galbi-new-york-2,Yoon Haeundae Galbi,https://s3-media1.fl.yelpcdn.com/bphoto/BpXNPvOjoErxD5xnhBaa-A/o.jpg,False,https://www.yelp.com/biz/yoon-haeundae-galbi-new-york-2?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,762,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.3,"{'latitude': 40.74996750318778, 'longitude': -73.98443095513923}","['delivery', 'pickup']",$$$,"{'address1': '8 W 36th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['8 W 36th St', 'New York, NY 10018']}",+12126918078,(212) 691-8078,1085.3057849817017,"{'business_temp_closed': None, 'menu_url': 'https://www.yoon-nyc.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
pQuZDnefX038xurT1BhDXA,keens-steakhouse-new-york,Keens Steakhouse,https://s3-media3.fl.yelpcdn.com/bphoto/rLz9cguf52vXFq5uE-Be7A/o.jpg,False,https://www.yelp.com/biz/keens-steakhouse-new-york?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,3234,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.2,"{'latitude': 40.7506687, 'longitude': -73.98645756533554}",['delivery'],$$$$,"{'address1': '72 W 36th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['72 W 36th St', 'New York, NY 10018']}",+12129473636,(212) 947-3636,950.8821026153033,"{'business_temp_closed': None, 'menu_url': 'http://www.keens.com/dinner/', 'open24_hours': None, 'waitlist_reservation': None}"
hk3ohp_A4L4UgWTexDxf_Q,gallaghers-steakhouse-new-york,Gallaghers Steakhouse,https://s3-media4.fl.yelpcdn.com/bphoto/Z1ugGF9xFFF6Kjq-h7WQjw/o.jpg,False,https://www.yelp.com/biz/gallaghers-steakhouse-new-york?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,1875,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American'}]",4.2,"{'latitude': 40.762876, 'longitude': -73.983837}","['delivery', 'pickup']",$$$$,"{'address1': '228 W 52nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['228 W 52nd St', 'New York, NY 10019']}",+12125865000,(212) 586-5000,676.1740560341703,"{'business_temp_closed': None, 'menu_url': 'https://www.gallaghersnysteakhouse.com/menu.php', 'open24_hours': None, 'waitlist_reservation': None}"
mWi1AZgb8HJjDsnz5lXsLA,hunt-and-fish-club-new-york-2,Hunt & Fish Club,https://s3-media1.fl.yelpcdn.com/bphoto/apZ0yAoyMaJJrEpmDCwL2g/o.jpg,False,https://www.yelp.com/biz/hunt-and-fish-club-new-york-2?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,703,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.9,"{'latitude': 40.75673, 'longitude': -73.9843}","['delivery', 'pickup']",$$$,"{'address1': '125 W 44th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['125 W 44th St', 'New York, NY 10036']}",+13476251220,(347) 625-1220,521.283450514985,"{'business_temp_closed': None, 'menu_url': 'https://www.hfcnyc.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
iAoHFfB_T8U31PhIzD-o_g,mastros-steakhouse-new-york,Mastro's Steakhouse,https://s3-media2.fl.yelpcdn.com/bphoto/ZUUGwT5PnVqcJ69LHYqNAw/o.jpg,False,https://www.yelp.com/biz/mastros-steakhouse-new-york?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,963,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.2,"{'latitude': 40.761105, 'longitude': -73.980164}","['delivery', 'pickup']",$$$$,"{'address1': '1285 6th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['1285 6th Ave', 'New York, NY 10019']}",+12124591222,(212) 459-1222,852.5237704957547,"{'business_temp_closed': None, 'menu_url': 'https://www.mastrosrestaurants.com/location/mastros-steakhouse-new-york/#menus', 'open24_hours': None, 'waitlist_reservation': None}"
zR92VSkXj1rt5KTJ15bkAw,benjamin-steakhouse-prime-new-york-4,Benjamin Steakhouse Prime,https://s3-media2.fl.yelpcdn.com/bphoto/fEnLetswvqpbOTzvovHPxA/o.jpg,False,https://www.yelp.com/biz/benjamin-steakhouse-prime-new-york-4?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,508,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]",4.4,"{'latitude': 40.75145573088978, 'longitude': -73.97965075275545}","['delivery', 'pickup']",$$$$,"{'address1': '23 E 40th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['23 E 40th St', 'New York, NY 10016']}",+12123380818,(212) 338-0818,1186.3637202986258,"{'business_temp_closed': None, 'menu_url': 'https://benjaminsteakhouse.com/prime/our-menus', 'open24_hours': None, 'waitlist_reservation': None}"
oczaVdQ3NRSKJpNo-4undg,brooklyn-chop-house-time-square-new-york,Brooklyn Chop House Time Square,https://s3-media4.fl.yelpcdn.com/bphoto/tV2PpJA9Zc5Pj0WBQkRskQ/o.jpg,False,https://www.yelp.com/biz/brooklyn-chop-house-time-square-new-york?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,277,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.8,"{'latitude': 40.760207, 'longitude': -73.986383}","['restaurant_reservation', 'delivery', 'pickup']",$$$,"{'address1': '253 W 47th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['253 W 47th St', 'New York, NY 10036']}",+12126191210,(212) 619-1210,332.2187575835216,"{'business_temp_closed': None, 'menu_url': 'https://www.brooklynchophouse.com/menus/', 'open24_hours': None, 'waitlist_reservation': True}"
tmzWZtu9Nimn7Hfas9XmcA,quality-bistro-new-york-3,Quality Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/FicNXn1s27I6KAgwpYWuWw/o.jpg,False,https://www.yelp.com/biz/quality-bistro-new-york-3?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,422,"[{'alias': 'french', 'title': 'French'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'New American'}]",4.2,"{'latitude': 40.763183, 'longitude': -73.979118}","['delivery', 'pickup']",$$$,"{'address1': '120 W 55th St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['120 W 55th St', 'New York, NY 10019']}",+12124333330,(212) 433-3330,1000.1570933792459,"{'business_temp_closed': None, 'menu_url': 'https://www.qualitybistro.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}"
H26qMBb0OFNn2xmSTM1Phw,kings-of-kobe-new-york-9,Kings of Kobe,https://s3-media2.fl.yelpcdn.com/bphoto/AF-AC5Sh-80Yjj8cvdW2Sg/o.jpg,False,https://www.yelp.com/biz/kings-of-kobe-new-york-9?adjust_creative=Ajda-ESi8vTMSOOHFsYRJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ajda-ESi8vTMSOOHFsYRJg,467,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.3,"{'latitude': 40.761172, 'longitude': -74.000307}","['delivery', 'pickup']",$$,"{'address1': '650 W 42nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['650 W 42nd St', 'New York, NY 10036']}",+16463705121,(646) 370-5121,920.0545620695374,"{'business_temp_closed': None, 'menu_url': 'https://www.kingsofkobe.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}"
